column,dtype,missing_count,description
loan_id,str,0,Unique loan identifier.
customer_id,str,0,Unique customer identifier.
loan_type,category,0,Type of loan product.
loan_amount,float64,0,Loan principal amount.
loan_term_months,int64,0,Engineered or supporting analysis field.
interest_rate,float64,0,Annual loan interest rate.
loan_start_date,datetime64[us],0,Engineered or supporting analysis field.
collateral_type,category,0,Collateral category for the loan.
collateral_value,float64,0,Engineered or supporting analysis field.
monthly_loan_payment,float64,0,Engineered or supporting analysis field.
loan_purpose,category,0,Engineered or supporting analysis field.
credit_score,float64,0,Borrower credit score.
debt_to_income_ratio,float64,0,Debt payment burden relative to income.
loan_to_value_ratio,float64,3324,Loan amount compared with collateral value.
missed_payments_12m,int64,0,Missed payments in the last 12 months.
days_past_due,int64,0,Current overdue days.
repayment_status,category,0,Current repayment status.
default_flag,int64,0,"1 if defaulted, otherwise 0."
risk_band,category,0,"Risk category: Low, Medium, or High."
expected_loss_amount,float64,0,Estimated loss amount based on risk and exposure.
customer_name,str,0,Customer name.
age,int64,0,Customer age in years.
gender,category,0,Customer gender.
nationality,category,0,Customer nationality.
occupation,category,0,Customer occupation.
employment_status,category,0,Customer employment status.
city,category,0,Engineered or supporting analysis field.
state,category,0,Engineered or supporting analysis field.
customer_segment,category,0,"Individual customer service segment: Retail, Priority, or Private Banking."
loyalty_classification,category,0,"Customer engagement or loyalty tier, separate from service segment."
fee_structure,category,0,Engineered or supporting analysis field.
investment_advisor,category,0,Assigned advisor or relationship team.
joined_bank,datetime64[us],0,Engineered or supporting analysis field.
annual_income,float64,0,Estimated yearly customer income.
monthly_income,float64,0,Engineered or supporting analysis field.
bank_deposits,float64,0,Engineered or supporting analysis field.
checking_balance,float64,0,Engineered or supporting analysis field.
savings_balance,float64,0,Engineered or supporting analysis field.
credit_card_limit,float64,0,Engineered or supporting analysis field.
credit_card_balance,float64,0,Engineered or supporting analysis field.
credit_utilization_ratio,float64,0,Engineered or supporting analysis field.
business_lending,float64,0,Existing business-related borrowing held by an individual proprietor or self-employed customer.
existing_monthly_debt_payment,float64,0,Engineered or supporting analysis field.
total_deposit_balance,float64,0,"Combined deposit, checking, and savings balance."
deposit_to_income_ratio,float64,0,Engineered or supporting analysis field.
age_group,category,0,Engineered or supporting analysis field.
income_band,category,0,Engineered or supporting analysis field.
customer_tenure_years,float64,0,Engineered or supporting analysis field.
credit_utilization_band,category,0,Engineered or supporting analysis field.
credit_score_band,category,0,Engineered or supporting analysis field.
dti_band,category,0,Engineered or supporting analysis field.
ltv_band,category,3324,Engineered or supporting analysis field.
has_recent_delinquency,bool,0,Engineered or supporting analysis field.
loan_to_income_ratio,float64,0,Engineered or supporting analysis field.
exposure_after_deposits,float64,0,Engineered or supporting analysis field.
